,level,subject,gender,year,value_perc,category
103,Advanced,Kashubian,Altogether,2015,64.3,Languages
104,Advanced,Lemko ,Altogether,2015,95.0,Languages
105,Basic,Polish ,Women,2016,62.0,Humanistic
106,Basic,Belarusian,Women,2016,73.5,Languages
107,Basic,Lithuanian ,Women,2016,83.8,Languages
108,Basic,Ukrainian ,Women,2016,78.4,Languages
109,Basic,Maths,Women,2016,55.6,Sciences
110,Basic,English,Women,2016,70.6,Languages
111,Basic,German,Women,2016,73.0,Languages
112,Basic,French,Women,2016,78.6,Languages
113,Basic,Russian,Women,2016,64.9,Languages
114,Basic,Spanish ,Women,2016,81.8,Languages
115,Basic,Italian ,Women,2016,80.1,Languages
116,Basic,Polish ,Men,2016,55.5,Humanistic
117,Basic,Belarusian,Men,2016,64.0,Languages
118,Basic,Lithuanian ,Men,2016,81.1,Languages
119,Basic,Ukrainian ,Men,2016,70.9,Languages
120,Basic,Maths,Men,2016,56.7,Sciences
121,Basic,English,Men,2016,72.4,Languages
122,Basic,German,Men,2016,67.9,Languages
123,Basic,French,Men,2016,79.3,Languages
124,Basic,Russian,Men,2016,58.7,Languages
125,Basic,Spanish ,Men,2016,82.1,Languages
126,Basic,Italian ,Men,2016,83.6,Languages
127,Basic,Polish ,Altogether,2016,59.1,Humanistic
128,Basic,Belarusian,Altogether,2016,69.6,Languages
129,Basic,Lithuanian ,Altogether,2016,83.0,Languages
130,Basic,Ukrainian ,Altogether,2016,75.5,Languages
131,Basic,Maths,Altogether,2016,56.1,Sciences
132,Basic,English,Altogether,2016,71.4,Languages
133,Basic,German,Altogether,2016,71.1,Languages
134,Basic,French,Altogether,2016,78.8,Languages
135,Basic,Russian,Altogether,2016,62.8,Languages
136,Basic,Spanish ,Altogether,2016,81.9,Languages
137,Basic,Italian ,Altogether,2016,80.9,Languages
138,Advanced,Polish ,Women,2016,61.3,Humanistic
139,Advanced,Belarusian,Women,2016,100.0,Languages
140,Advanced,Lithuanian ,Women,2016,79.9,Languages
141,Advanced,Ukrainian ,Women,2016,90.4,Languages
142,Advanced,Maths,Women,2016,32.8,Sciences
143,Advanced,English,Women,2016,55.0,Languages
144,Advanced,German,Women,2016,53.8,Languages
145,Advanced,French,Women,2016,65.3,Languages
146,Advanced,Russian,Women,2016,57.2,Languages
147,Advanced,Spanish ,Women,2016,58.2,Languages
148,Advanced,Italian ,Women,2016,65.9,Languages
149,Advanced,Civics,Women,2016,25.5,Humanistic
150,Advanced,Geography,Women,2016,37.9,Sciences
151,Advanced,Biology,Women,2016,36.1,Sciences
152,Advanced,Chemistry,Women,2016,37.4,Sciences
153,Advanced,History,Women,2016,41.7,Humanistic
154,Advanced,Physics,Women,2016,41.9,Sciences
155,Advanced,History of music,Women,2016,53.6,Humanistic
156,Advanced,History of art,Women,2016,45.9,Humanistic
157,Advanced,Philosophy,Women,2016,53.7,Humanistic
158,Advanced,Latin and ancient culture,Women,2016,50.2,Languages
159,Advanced,Informatics,Women,2016,42.8,Sciences
160,Advanced,Kashubian,Women,2016,64.0,Languages
161,Advanced,Lemko ,Women,2016,95.0,Languages
162,Advanced,Polish ,Men,2016,58.6,Humanistic
163,Advanced,Belarusian,Men,2016,100.0,Languages
164,Advanced,Lithuanian ,Men,2016,78.3,Languages
165,Advanced,Ukrainian ,Men,2016,75.8,Languages
166,Advanced,Maths,Men,2016,29.1,Sciences
167,Advanced,English,Men,2016,55.2,Languages
168,Advanced,German,Men,2016,53.4,Languages
169,Advanced,French,Men,2016,63.7,Languages
170,Advanced,Russian,Men,2016,56.6,Languages
171,Advanced,Spanish ,Men,2016,59.0,Languages
172,Advanced,Italian ,Men,2016,71.1,Languages
173,Advanced,Civics,Men,2016,28.9,Humanistic
174,Advanced,Geography,Men,2016,39.9,Sciences
175,Advanced,Biology,Men,2016,36.8,Sciences
176,Advanced,Chemistry,Men,2016,42.1,Sciences
177,Advanced,History,Men,2016,42.2,Humanistic
178,Advanced,Physics,Men,2016,40.7,Sciences
179,Advanced,History of music,Men,2016,45.7,Humanistic
180,Advanced,History of art,Men,2016,40.4,Humanistic
181,Advanced,Philosophy,Men,2016,44.3,Humanistic
182,Advanced,Latin and ancient culture,Men,2016,45.9,Languages
183,Advanced,Informatics,Men,2016,38.5,Sciences
184,Advanced,Kashubian,Men,2016,43.8,Languages
185,Advanced,Lemko ,Men,2016,86.5,Languages
186,Advanced,Polish ,Altogether,2016,60.7,Humanistic
187,Advanced,Belarusian,Altogether,2016,100.0,Languages
188,Advanced,Lithuanian ,Altogether,2016,79.4,Languages
189,Advanced,Ukrainian ,Altogether,2016,86.9,Languages
190,Advanced,Maths,Altogether,2016,30.5,Sciences
191,Advanced,English,Altogether,2016,55.1,Languages
192,Advanced,German,Altogether,2016,53.7,Languages
193,Advanced,French,Altogether,2016,65.0,Languages
194,Advanced,Russian,Altogether,2016,57.0,Languages
195,Advanced,Spanish ,Altogether,2016,58.4,Languages
196,Advanced,Italian ,Altogether,2016,67.1,Languages
197,Advanced,Civics,Altogether,2016,26.9,Humanistic
198,Advanced,Geography,Altogether,2016,38.8,Sciences
199,Advanced,Biology,Altogether,2016,36.3,Sciences
200,Advanced,Chemistry,Altogether,2016,38.7,Sciences
201,Advanced,History,Altogether,2016,42.0,Humanistic
202,Advanced,Physics,Altogether,2016,41.0,Sciences
203,Advanced,History of music,Altogether,2016,49.9,Humanistic
204,Advanced,History of art,Altogether,2016,44.8,Humanistic
205,Advanced,Philosophy,Altogether,2016,48.6,Humanistic
206,Advanced,Latin and ancient culture,Altogether,2016,48.4,Languages
207,Advanced,Informatics,Altogether,2016,38.9,Sciences
208,Advanced,Kashubian,Altogether,2016,55.9,Languages
209,Advanced,Lemko ,Altogether,2016,47.5,Languages
210,Basic,Polish ,Women,2017,59.1,Humanistic
211,Basic,Belarusian,Women,2017,78.2,Languages
212,Basic,Lithuanian ,Women,2017,83.4,Languages
213,Basic,Ukrainian ,Women,2017,77.6,Languages
214,Basic,Maths,Women,2017,54.0,Sciences
215,Basic,English,Women,2017,70.7,Languages
216,Basic,German,Women,2017,65.7,Languages
217,Basic,French,Women,2017,77.5,Languages
218,Basic,Russian,Women,2017,63.4,Languages
219,Basic,Spanish ,Women,2017,77.1,Languages
220,Basic,Italian ,Women,2017,81.4,Languages
221,Basic,Polish ,Men,2017,53.1,Humanistic
222,Basic,Belarusian,Men,2017,68.5,Languages
223,Basic,Lithuanian ,Men,2017,67.3,Languages
224,Basic,Ukrainian ,Men,2017,74.7,Languages
225,Basic,Maths,Men,2017,55.1,Sciences
226,Basic,English,Men,2017,72.4,Languages
227,Basic,German,Men,2017,63.4,Languages
228,Basic,French,Men,2017,79.5,Languages
229,Basic,Russian,Men,2017,57.5,Languages
230,Basic,Spanish ,Men,2017,78.3,Languages
231,Basic,Italian ,Men,2017,80.4,Languages
232,Basic,Polish ,Altogether,2017,56.4,Humanistic
233,Basic,Belarusian,Altogether,2017,73.7,Languages
234,Basic,Lithuanian ,Altogether,2017,75.8,Languages
235,Basic,Ukrainian ,Altogether,2017,76.5,Languages
236,Basic,Maths,Altogether,2017,54.5,Sciences
237,Basic,English,Altogether,2017,71.5,Languages
238,Basic,German,Altogether,2017,64.9,Languages
239,Basic,French,Altogether,2017,78.1,Languages
240,Basic,Russian,Altogether,2017,61.3,Languages
241,Basic,Spanish ,Altogether,2017,77.4,Languages
242,Basic,Italian ,Altogether,2017,81.1,Languages
243,Advanced,Polish ,Women,2017,50.4,Humanistic
244,Advanced,Belarusian,Women,2017,100.0,Languages
245,Advanced,Lithuanian ,Women,2017,84.3,Languages
246,Advanced,Ukrainian ,Women,2017,81.4,Languages
247,Advanced,Maths,Women,2017,41.6,Sciences
248,Advanced,English,Women,2017,59.5,Languages
249,Advanced,German,Women,2017,56.0,Languages
250,Advanced,French,Women,2017,60.8,Languages
251,Advanced,Russian,Women,2017,57.1,Languages
252,Advanced,Spanish ,Women,2017,55.5,Languages
253,Advanced,Italian ,Women,2017,68.3,Languages
254,Advanced,Civics,Women,2017,25.0,Humanistic
255,Advanced,Geography,Women,2017,30.4,Sciences
256,Advanced,Biology,Women,2017,36.5,Sciences
257,Advanced,Chemistry,Women,2017,39.9,Sciences
258,Advanced,History,Women,2017,32.0,Humanistic
259,Advanced,Physics,Women,2017,39.8,Sciences
260,Advanced,History of music,Women,2017,53.2,Humanistic
261,Advanced,History of art,Women,2017,45.5,Humanistic
262,Advanced,Philosophy,Women,2017,44.2,Humanistic
263,Advanced,Latin and ancient culture,Women,2017,60.4,Languages
264,Advanced,Informatics,Women,2017,34.1,Sciences
265,Advanced,Kashubian,Women,2017,75.5,Languages
266,Advanced,Lemko ,Women,2017,90.0,Languages
267,Advanced,Polish ,Men,2017,47.6,Humanistic
268,Advanced,Belarusian,Men,2017,100.0,Languages
269,Advanced,Lithuanian ,Men,2017,65.9,Languages
270,Advanced,Ukrainian ,Men,2017,78.6,Languages
271,Advanced,Maths,Men,2017,34.1,Sciences
272,Advanced,English,Men,2017,59.8,Languages
273,Advanced,German,Men,2017,54.8,Languages
274,Advanced,French,Men,2017,63.8,Languages
275,Advanced,Russian,Men,2017,56.8,Languages
276,Advanced,Spanish ,Men,2017,52.4,Languages
277,Advanced,Italian ,Men,2017,67.6,Languages
278,Advanced,Civics,Men,2017,28.5,Humanistic
279,Advanced,Geography,Men,2017,30.7,Sciences
280,Advanced,Biology,Men,2017,37.0,Sciences
281,Advanced,Chemistry,Men,2017,44.8,Sciences
282,Advanced,History,Men,2017,34.5,Humanistic
283,Advanced,Physics,Men,2017,40.3,Sciences
284,Advanced,History of music,Men,2017,37.9,Humanistic
285,Advanced,History of art,Men,2017,37.6,Humanistic
286,Advanced,Philosophy,Men,2017,40.0,Humanistic
