level,subject,gender,year,value_perc
Advanced,Belarusian,Women,2016,100.0
Advanced,Lithuanian ,Women,2016,79.9
Advanced,Ukrainian ,Women,2016,90.4
Advanced,Maths,Women,2016,32.8
Advanced,English,Women,2016,55.0
Advanced,German,Women,2016,53.8
Advanced,French,Women,2016,65.3
Advanced,Russian,Women,2016,57.2
Advanced,Spanish ,Women,2016,58.2
Advanced,Italian ,Women,2016,65.9
Advanced,Civics,Women,2016,25.5
Advanced,Geography,Women,2016,37.9
Advanced,Biology,Women,2016,36.1
Advanced,Chemistry,Women,2016,37.4
Advanced,History,Women,2016,41.7
Advanced,Physics,Women,2016,41.9
Advanced,History of music,Women,2016,53.6
Advanced,History of art,Women,2016,45.9
Advanced,Philosophy,Women,2016,53.7
Advanced,Latin and ancient culture,Women,2016,50.2
Advanced,Informatics,Women,2016,42.8
Advanced,Kashubian,Women,2016,64.0
Advanced,Lemko ,Women,2016,95.0
Advanced,Polish ,Men,2016,58.6
Advanced,Belarusian,Men,2016,100.0
Advanced,Lithuanian ,Men,2016,78.3
Advanced,Ukrainian ,Men,2016,75.8
Advanced,Maths,Men,2016,29.1
Advanced,English,Men,2016,55.2
Advanced,German,Men,2016,53.4
Advanced,French,Men,2016,63.7
Advanced,Russian,Men,2016,56.6
Advanced,Spanish ,Men,2016,59.0
Advanced,Italian ,Men,2016,71.1
Advanced,Civics,Men,2016,28.9
Advanced,Geography,Men,2016,39.9
Advanced,Biology,Men,2016,36.8
Advanced,Chemistry,Men,2016,42.1
Advanced,History,Men,2016,42.2
Advanced,Physics,Men,2016,40.7
Advanced,History of music,Men,2016,45.7
Advanced,History of art,Men,2016,40.4
Advanced,Philosophy,Men,2016,44.3
Advanced,Latin and ancient culture,Men,2016,45.9
Advanced,Informatics,Men,2016,38.5
Advanced,Kashubian,Men,2016,43.8
Advanced,Lemko ,Men,2016,0.0
Advanced,Polish ,Altogether,2016,60.7
Advanced,Belarusian,Altogether,2016,100.0
Advanced,Lithuanian ,Altogether,2016,79.4
Advanced,Ukrainian ,Altogether,2016,86.9
Advanced,Maths,Altogether,2016,30.5
Advanced,English,Altogether,2016,55.1
Advanced,German,Altogether,2016,53.7
Advanced,French,Altogether,2016,65.0
Advanced,Russian,Altogether,2016,57.0
Advanced,Spanish ,Altogether,2016,58.4
Advanced,Italian ,Altogether,2016,67.1
Advanced,Civics,Altogether,2016,26.9
Advanced,Geography,Altogether,2016,38.8
Advanced,Biology,Altogether,2016,36.3
Advanced,Chemistry,Altogether,2016,38.7
Advanced,History,Altogether,2016,42.0
Advanced,Physics,Altogether,2016,41.0
Advanced,History of music,Altogether,2016,49.9
Advanced,History of art,Altogether,2016,44.8
Advanced,Philosophy,Altogether,2016,48.6
Advanced,Latin and ancient culture,Altogether,2016,48.4
Advanced,Informatics,Altogether,2016,38.9
Advanced,Kashubian,Altogether,2016,55.9
Advanced,Lemko ,Altogether,2016,47.5
Basic,Polish ,Women,2017,59.1
Basic,Belarusian,Women,2017,78.2
Basic,Lithuanian ,Women,2017,83.4
Basic,Ukrainian ,Women,2017,77.6
Basic,Maths,Women,2017,54.0
Basic,English,Women,2017,70.7
Basic,German,Women,2017,65.7
Basic,French,Women,2017,77.5
Basic,Russian,Women,2017,63.4
Basic,Spanish ,Women,2017,77.1
Basic,Italian ,Women,2017,81.4
Basic,Polish ,Men,2017,53.1
Basic,Belarusian,Men,2017,68.5
Basic,Lithuanian ,Men,2017,67.3
Basic,Ukrainian ,Men,2017,74.7
Basic,Maths,Men,2017,55.1
Basic,English,Men,2017,72.4
Basic,German,Men,2017,63.4
Basic,French,Men,2017,79.5
Basic,Russian,Men,2017,57.5
Basic,Spanish ,Men,2017,78.3
Basic,Italian ,Men,2017,80.4
Basic,Polish ,Altogether,2017,56.4
Basic,Belarusian,Altogether,2017,73.7
Basic,Lithuanian ,Altogether,2017,75.8
Basic,Ukrainian ,Altogether,2017,76.5
Basic,Maths,Altogether,2017,54.5
Basic,English,Altogether,2017,71.5
Basic,German,Altogether,2017,64.9
Basic,French,Altogether,2017,78.1
Basic,Russian,Altogether,2017,61.3
Basic,Spanish ,Altogether,2017,77.4
Basic,Italian ,Altogether,2017,81.1
Advanced,Polish ,Women,2017,50.4
Advanced,Belarusian,Women,2017,100.0
Advanced,Lithuanian ,Women,2017,84.3
Advanced,Ukrainian ,Women,2017,81.4
Advanced,Maths,Women,2017,41.6
Advanced,English,Women,2017,59.5
Advanced,German,Women,2017,56.0
Advanced,French,Women,2017,60.8
Advanced,Russian,Women,2017,57.1
Advanced,Spanish ,Women,2017,55.5
Advanced,Italian ,Women,2017,68.3
Advanced,Civics,Women,2017,25.0
Advanced,Geography,Women,2017,30.4
Advanced,Biology,Women,2017,36.5
Advanced,Chemistry,Women,2017,39.9
Advanced,History,Women,2017,32.0
Advanced,Physics,Women,2017,39.8
Advanced,History of music,Women,2017,53.2
Advanced,History of art,Women,2017,45.5
Advanced,Philosophy,Women,2017,44.2
Advanced,Latin and ancient culture,Women,2017,60.4
Advanced,Informatics,Women,2017,34.1
Advanced,Kashubian,Women,2017,75.5
Advanced,Lemko ,Women,2017,90.0
Advanced,Polish ,Men,2017,47.6
Advanced,Belarusian,Men,2017,100.0
Advanced,Lithuanian ,Men,2017,65.9
Advanced,Ukrainian ,Men,2017,78.6
Advanced,Maths,Men,2017,34.1
Advanced,English,Men,2017,59.8
Advanced,German,Men,2017,54.8
Advanced,French,Men,2017,63.8
Advanced,Russian,Men,2017,56.8
Advanced,Spanish ,Men,2017,52.4
Advanced,Italian ,Men,2017,67.6
Advanced,Civics,Men,2017,28.5
Advanced,Geography,Men,2017,30.7
Advanced,Biology,Men,2017,37.0
Advanced,Chemistry,Men,2017,44.8
Advanced,History,Men,2017,34.5
Advanced,Physics,Men,2017,40.3
Advanced,History of music,Men,2017,37.9
Advanced,History of art,Men,2017,37.6
Advanced,Philosophy,Men,2017,40.0
Advanced,Latin and ancient culture,Men,2017,71.3
Advanced,Informatics,Men,2017,32.8
Advanced,Kashubian,Men,2017,70.0
Advanced,Lemko ,Men,2017,0.0
Advanced,Polish ,Altogether,2017,49.7
Advanced,Belarusian,Altogether,2017,100.0
Advanced,Lithuanian ,Altogether,2017,76.7
Advanced,Ukrainian ,Altogether,2017,80.5
Advanced,Maths,Altogether,2017,36.9
Advanced,English,Altogether,2017,59.6
Advanced,German,Altogether,2017,55.6
Advanced,French,Altogether,2017,61.5
Advanced,Russian,Altogether,2017,57.0
Advanced,Spanish ,Altogether,2017,54.7
Advanced,Italian ,Altogether,2017,68.1
Advanced,Civics,Altogether,2017,26.4
Advanced,Geography,Altogether,2017,30.6
Advanced,Biology,Altogether,2017,36.6
Advanced,Chemistry,Altogether,2017,41.2
Advanced,History,Altogether,2017,33.3
Advanced,Physics,Altogether,2017,40.2
Advanced,History of music,Altogether,2017,46.6
Advanced,History of art,Altogether,2017,44.0
Advanced,Philosophy,Altogether,2017,42.0
Advanced,Latin and ancient culture,Altogether,2017,64.5
Advanced,Informatics,Altogether,2017,32.9
Advanced,Kashubian,Altogether,2017,73.7
Advanced,Lemko ,Altogether,2017,90.0
Basic,Polish ,Women,2018,58.2
Basic,Belarusian,Women,2018,73.4
Basic,Lithuanian ,Women,2018,79.6
Basic,Ukrainian ,Women,2018,78.5
Basic,Maths,Women,2018,55.2
Basic,English,Women,2018,72.4
Basic,German,Women,2018,62.0
Basic,French,Women,2018,81.8
Basic,Russian,Women,2018,62.4
Basic,Spanish ,Women,2018,78.6
Basic,Italian ,Women,2018,81.5
Basic,Polish ,Men,2018,51.9
Basic,Belarusian,Men,2018,62.5
Basic,Lithuanian ,Men,2018,77.0
Basic,Ukrainian ,Men,2018,72.7
Basic,Maths,Men,2018,56.1
Basic,English,Men,2018,73.9
Basic,German,Men,2018,60.3
Basic,French,Men,2018,83.3
Basic,Russian,Men,2018,57.7
Basic,Spanish ,Men,2018,80.0
Basic,Italian ,Men,2018,82.5
Basic,Polish ,Altogether,2018,55.3
Basic,Belarusian,Altogether,2018,70.0
Basic,Lithuanian ,Altogether,2018,78.8
Basic,Ukrainian ,Altogether,2018,76.4
Basic,Maths,Altogether,2018,55.6
Basic,English,Altogether,2018,73.1
Basic,German,Altogether,2018,61.4
Basic,French,Altogether,2018,82.2
Basic,Russian,Altogether,2018,60.7
Basic,Spanish ,Altogether,2018,79.0
Basic,Italian ,Altogether,2018,81.8
Advanced,Polish ,Women,2018,51.8
Advanced,Belarusian,Women,2018,100.0
Advanced,Lithuanian ,Women,2018,87.3
Advanced,Ukrainian ,Women,2018,85.1
Advanced,Maths,Women,2018,31.5
Advanced,English,Women,2018,56.8
Advanced,German,Women,2018,53.7
Advanced,French,Women,2018,67.3
Advanced,Russian,Women,2018,59.5
Advanced,Spanish ,Women,2018,55.6
Advanced,Italian ,Women,2018,68.8
Advanced,Civics,Women,2018,26.6
Advanced,Geography,Women,2018,30.3
Advanced,Biology,Women,2018,31.7
Advanced,Chemistry,Women,2018,38.4
Advanced,History,Women,2018,31.3
Advanced,Physics,Women,2018,35.5
Advanced,History of music,Women,2018,53.7
Advanced,History of art,Women,2018,45.6
Advanced,Philosophy,Women,2018,42.2
Advanced,Latin and ancient culture,Women,2018,53.9
Advanced,Informatics,Women,2018,37.4
Advanced,Kashubian,Women,2018,63.3
Advanced,Lemko ,Women,2018,0.0
Advanced,Polish ,Men,2018,48.9
Advanced,Belarusian,Men,2018,100.0
Advanced,Lithuanian ,Men,2018,75.5
Advanced,Ukrainian ,Men,2018,77.3
Advanced,Maths,Men,2018,26.8
Advanced,English,Men,2018,57.9
Advanced,German,Men,2018,55.6
Advanced,French,Men,2018,65.6
Advanced,Russian,Men,2018,59.1
Advanced,Spanish ,Men,2018,55.0
Advanced,Italian ,Men,2018,71.7
Advanced,Civics,Men,2018,29.9
Advanced,Geography,Men,2018,30.6
Advanced,Biology,Men,2018,33.0
Advanced,Chemistry,Men,2018,43.5
Advanced,History,Men,2018,33.3
Advanced,Physics,Men,2018,34.9
Advanced,History of music,Men,2018,34.9
Advanced,History of art,Men,2018,38.7
Advanced,Philosophy,Men,2018,35.8
Advanced,Latin and ancient culture,Men,2018,65.2
Advanced,Informatics,Men,2018,33.8
Advanced,Kashubian,Men,2018,46.5
Advanced,Lemko ,Men,2018,95.0
Advanced,Polish ,Altogether,2018,51.1
Advanced,Belarusian,Altogether,2018,100.0
Advanced,Lithuanian ,Altogether,2018,83.4
Advanced,Ukrainian ,Altogether,2018,83.6
Advanced,Maths,Altogether,2018,28.6
